timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1578491304943,382,Search,200,OK,Main 1-1,text,true,,97533,829,20,20,https://www.bing.com:443/?toWww=1&redig=77726EEF7FBE48748900E00091E75E8A,74,0,0
1578491304943,74,Search-0,301,,Main 1-1,text,true,,1011,113,20,20,https://bing.com/,74,0,0
1578491305017,249,Search-1,200,OK,Main 1-1,text,true,,95870,276,20,20,https://www.bing.com:443/?toWww=1&redig=77726EEF7FBE48748900E00091E75E8A,120,0,0
1578491305268,57,Search-2,200,OK,Main 1-1,bin,true,,652,440,20,20,https://www.bing.com:443/sa/simg/bing_p_rr_teal_min.ico,57,0,40
1578491305039,330,Search,200,OK,Main 1-2,text,true,,97533,829,20,20,https://www.bing.com:443/?toWww=1&redig=D1A4FE4D32D6406D87CE6F80FECE30B2,59,0,0
1578491305039,59,Search-0,301,,Main 1-2,text,true,,1011,113,20,20,https://bing.com/,59,0,0
1578491305098,218,Search-1,200,OK,Main 1-2,text,true,,95870,276,20,20,https://www.bing.com:443/?toWww=1&redig=D1A4FE4D32D6406D87CE6F80FECE30B2,78,0,0
1578491305317,52,Search-2,200,OK,Main 1-2,bin,true,,652,440,20,20,https://www.bing.com:443/sa/simg/bing_p_rr_teal_min.ico,52,0,34
1578491305216,308,Search,200,OK,Main 1-8,text,true,,97533,829,20,20,https://www.bing.com:443/?toWww=1&redig=D1595AD3CB0643C498E032837DCAA042,156,0,42
1578491305216,156,Search-0,301,,Main 1-8,text,true,,1011,113,20,20,https://bing.com/,156,0,42
1578491305373,131,Search-1,200,OK,Main 1-8,text,true,,95870,276,20,20,https://www.bing.com:443/?toWww=1&redig=D1595AD3CB0643C498E032837DCAA042,114,0,36
1578491305506,18,Search-2,200,OK,Main 1-8,bin,true,,652,440,20,20,https://www.bing.com:443/sa/simg/bing_p_rr_teal_min.ico,18,0,0
1578491305266,289,Search,200,OK,Main 1-13,text,true,,95943,859,20,20,https://www.bing.com:443/?toWww=1&redig=F2F04E1EDBE94E3C9ED7648C2696306D,83,0,21
1578491305266,83,Search-0,301,,Main 1-13,text,true,,593,402,20,20,https://bing.com/,83,0,21
1578491305349,206,Search-1,200,OK,Main 1-13,text,true,,95350,457,20,20,https://www.bing.com:443/?toWww=1&redig=F2F04E1EDBE94E3C9ED7648C2696306D,191,0,46
1578491305668,226,Search,200,OK,Main 1-14,text,true,,95944,859,20,20,https://www.bing.com:443/?toWww=1&redig=5ADAEFB0F3084E3A9688AA80D4DEF05E,93,0,34
1578491305668,93,Search-0,301,,Main 1-14,text,true,,593,402,20,20,https://bing.com/,93,0,34
